year,month,value
2020,4,5.346
2020,3,5.257
2020,2,5.497
2020,1,5.505
2019,12,5.474
2019,11,5.505
2019,10,5.653
2019,9,5.571
2019,8,5.576
2019,7,5.701
2019,6,5.878
2019,5,5.812
2019,4,5.552
2019,3,5.608
2019,2,5.502
2019,1,5.518
2018,12,5.502
2018,11,5.392
2018,10,5.37
2018,9,5.501
2018,8,5.577
2018,7,5.418
2018,6,5.247
2018,5,5.452
2018,4,5.421
2018,3,5.527
2018,2,5.533
2018,1,5.654
2017,12,5.629
2017,11,5.708
2017,10,6.066
2017,9,6.366
2017,8,6.241
2017,7,5.819
2017,6,5.665
2017,5,5.699
2017,4,5.775
2017,3,5.745
2017,2,5.334
2017,1,5.18
2016,12,5.102
2016,11,5.106
2016,10,5.375
2016,9,5.481
2016,8,5.448
2016,7,5.454
2016,6,5.374
2016,5,5.552
2016,4,5.613
2016,3,5.494
2016,2,5.394
2016,1,5.656
2015,12,5.734
2015,11,5.847
2015,10,5.899
2015,9,5.734
2015,8,5.41
2015,7,5.184
2015,6,5.059
2015,5,4.94
2015,4,5.211
2015,3,5.367
2015,2,5.472
2015,1,5.589
